Latitude,Longitude,Elevation,Stream Bed Material,Lithology
"27°00'15""","76°00'33""",409,"Aeol,All,Clay",Undiff.Sd.
"27°00'19""","76°00'53""",394,"Aeol,All,Clay",Undiff.Sd.
"27°00'44""","76°00'07""",389,"Aeol,All,Clay",Undiff.Sd.
"27°00'59""","76°01'02""",406,"Aeol,All,Clay",Undiff.Sd.
"27°00'11""","76°01'29""",396,"Aeol,All,Clay",Undiff.Sd.
"27°00'31""","76°02'09""",404,"Rk,Sd,G",QUART
"27°00'33""","76°01'33""",382,"Aeol,All,Clay",Undiff.Sd.
"27°01'00""","76°01'55""",404,"Rk,Sd,G",QUART
"27°00'13""","76°02'35""",416,"Rk,Sd,G",QUART
"27°00'06""","76°03'24""",414,"Aeol,All,Clay",Undiff.Sd.
"27°00'38""","76°02'49""",548,"Sd,G",QUART
"27°00'38""","76°03'12""",526,"Rk,Sd,G",QUART
"27°00'20""","76°03'42""",436,"Rk,Sd,G",QUART
"27°00'23""","76°04'33""",416,"Sd,G","QUART,MICA
SCHI"
"27°00'35""","76°04'01""",476,"Sd,G","DOLO MARB,
QUART"
"27°00'36""","76°04'24""",384,"Rk,Sd,G",QUART
"27°00'16""","76°05'13""",372,"Sd,G","QUART, AMPH"
"27°00'17""","76°05'45""",359,"Sd,C,St",Undiff.Sd.
"27°00'42""","76°05'00""",368,"Sd,G",QUART
"27°00'47""","76°05'30""",375,"Sd,G",Undiff.Sd.
"27°00'17""","76°06'23""",353,"Aeol,All,Clay",Undiff.Sd.
"27°00'17""","76°06'59""",354,"Aeol,All,Clay",Undiff.Sd.
"27°00'50""","76°06'23""",356,"Aeol,All,Clay",Undiff.Sd.
"27°00'50""","76°07'01""",357,"Aeol,All,Clay",Undiff.Sd.
"27°00'07""","76°07'42""",358,"Aeol,All,Clay",Undiff.Sd.
"27°00'22""","76°08'11""",357,"Aeol,All,Clay",Undiff.Sd.
"27°01'00""","76°07'44""",362,"Aeol,All,Clay",Undiff.Sd.
"27°00'53""","76°08'15""",357,"Aeol,All,Clay",Undiff.Sd.
"27°00'16""","76°08'35""",359,"Aeol,All,Clay",Undiff.Sd.
"27°00'20""","76°09'32""",358,"Aeol,All,Clay",Undiff.Sd.
"27°00'49""","76°08'36""",354,"Aeol,All,Clay",Undiff.Sd.
"27°00'48""","76°09'33""",358,"Aeol,All,Clay",Undiff.Sd.
"27°00'20""","76°09'53""",356,"Aeol,All,Clay",Undiff.Sd.
"27°00'15""","76°10'45""",347,"Aeol,All,Clay",Undiff.Sd.
"27°00'52""","76°09'49""",358,"Aeol,All,Clay",Undiff.Sd.
"27°00'45""","76°10'41""",352,"Aeol,All,Clay",Undiff.Sd.
"27°00'06""","76°11'11""",345,"Aeol,All,Clay",Undiff.Sd.
"27°00'28""","76°11'41""",345,"Aeol,All,Clay",Undiff.Sd.
"27°00'49""","76°11'14""",346,"Aeol,All,Clay",Undiff.Sd.
"27°00'38""","76°11'58""",343,"Aeol,All,Clay",Undiff.Sd.
"27°00'07""","76°12'21""",343,"Aeol,All,Clay",Undiff.Sd.
"27°00'23""","76°13'03""",345,"Aeol,All,Clay",Undiff.Sd.
"27°01'00""","76°12'32""",351,"Aeol,All,Clay",Undiff.Sd.
"27°00'55""","76°12'55""",352,"Aeol,All,Clay",Undiff.Sd.
"27°00'07""","76°13'45""",344,"Aeol,All,Clay",Undiff.Sd.
"27°00'19""","76°14'15""",341,"Aeol,All,Clay",Undiff.Sd.
"27°00'38""","76°13'48""",342,"Aeol,All,Clay",Undiff.Sd.
"27°00'46""","76°14'24""",341,"Aeol,All,Clay",Undiff.Sd.
"27°00'11""","76°14'55""",342,"Aeol,All,Clay",Undiff.Sd.
"27°00'50""","76°14'42""",345,"Aeol,All,Clay",Undiff.Sd.
"27°01'25""","76°00'18""",424,"Sd,G",QUART
"27°01'13""","76°02'12""",398,"Aeol,All,Clay",Undiff.Sd.
"27°01'45""","76°00'05""",544,"Sd,G",QUART
"27°02'02""","76°00'47""",466,"Sd,G",QUART
"27°01'17""","76°01'38""",391,"Aeol,All,Clay",Undiff.Sd.
"27°01'25""","76°02'11""",402,"Sd,G",QUART
"27°02'09""","76°01'15""",378,"Sd,G",QUART
"27°01'58""","76°02'00""",388,"Aeol,All,Clay",Undiff.Sd.
"27°01'35""","76°02'35""",458,"Sd,G",QUART
"27°01'30""","76°03'24""",535,"Rk,Sd,G",QUART
"27°01'49""","76°02'45""",418,"Sd,G",QUART
"27°02'06""","76°03'07""",401,"Sd,G",QUART
"27°01'30""","76°04'04""",369,"Sd,G",QUART
"27°01'17""","76°04'38""",376,"Sd,G","GRAN, QUART"
"27°01'53""","76°04'02""",377,"Sd,G",QUART
"27°02'05""","76°04'40""",396,Sd,QUART
"27°01'36""","76°04'56""",364,"Sd,G","GRAN,
QUART,MB"
"27°01'09""","76°05'37""",384,"Sd,G","GRAN, QUART"
"27°02'01""","76°05'17""",378,"Sd,G","GRAN,
QUART,MB"
"27°01'51""","76°05'38""",382,"Sd,G","GRAN, QUART"
"27°01'35""","76°06'31""",363,"Aeol,All,Clay",Undiff.Sd.
"27°01'26""","76°07'01""",361,"Aeol,All,Clay",Undiff.Sd.
